"product_name","product_price","product_price_url"
"Geeni Prisma 1050 Wi-Fi Multicolor Light Bulbs (2700K), 4-Pack – Dimmable LED Bulbs, 75-Watt Equivalent – No Hub Required – Works with Amazon Alexa, Google Assistant, Microsoft Cortana","$49.99","https://www.amazon.com/Geeni-4-Pack-Smart-Wi-Fi-Color/dp/B07K51369Z/ref=sr_1_29?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-29"
"Light Bulb Camera,Include 16GB Card 1080P WiFi Security Camera, 2MP Wireles IP LED Cam,360 Degrees Panoramic VR Indoor/Outdoor Home Surveillance Cameras,Motion Detection/Night Vision/Alarm","$29.98","https://www.amazon.com/Include-Security-Panoramic-Surveillance-Detection/dp/B082S9PBHK/ref=sr_1_30?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-30"
"Philips Hue White LED Smart Light Bulb Starter Kit, 3 A19 Smart Bulbs & 1 Hue Hub, (Works with Alexa, Apple HomeKit, and Google Assistant)","$79.99","https://www.amazon.com/Philips-Hue-Starter-HomeKit-Assistant/dp/B07QZHMM4P/ref=sr_1_31?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-31"
"Sengled Smart Light Bulb, Smart Bulbs that work with Alexa, Google Home & IFTTT (Smart Hub Required), Smart LED Light Bulb BR30 Soft White Dimmable LED Light, 65W Equivalent, 9W 650LM, 4 Pack","$37.49","https://www.amazon.com/Sengled-Required-Equivalent-Assistant-SmartThings/dp/B075L93W26/ref=sr_1_32?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-32"
"Kasa Smart WiFi Light Bulb, Dimmable by TP-Link – No Hub Required, Works with Alexa & Google (KL110)","$14.99","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sr_1_33?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-33"
"[2020 Upgrade] Smart LED Light Bulb 2.4G(Not 5G) A21 by 3Stone, 10W (100W Equivalent) E26 WiFi App Controlled, Dimmable Warm White(3000K) and RGB Colors, Works Perfect with Alexa, Google Assistant","$40.99","https://www.amazon.com/3Stone-Controlled-Dimmable-Equivalent-Assistant/dp/B07HR8GT12/ref=sr_1_34?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-34"
"WiFi Smart LED Light Bulbs, A19 E26 RGB+W Color Changing Light Bulb Compatible with Alexa, Google Home Assistant and IFTTT + APP Control No Hub Required 7.5W (60W Equivalent)-2 Pack","$17.99","https://www.amazon.com/Changing-Compatible-Assistant-Required-Equivalent/dp/B083CYZNYJ/ref=sr_1_35?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-35"
"Kasa 3 Way Smart Switch Kit by TP-Link, Wifi Light Switch works with Alexa and Google Home, Neutral Wire Required,No Hub Required, UL Certified, 2-Pack(HS210 KIT)","$39.99","https://www.amazon.com/TP-Link-Switch-HS210-KIT-1-Pack/dp/B07724HNTX/ref=sr_1_36?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-36"
"LED Flood Light 100W Equivalent RGB Color Changing, Outdoor Bluetooth Smart Floodlights RGBW 2700K Warm White & 16 Million Colors, 20 Modes, Grouping, Timing, IP66 Waterproof (2 Pack)","$38.99","https://www.amazon.com/Changing-Bluetooth-Floodlights-Waterproof-Equivalent/dp/B07T1B5S58/ref=sr_1_37?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-37"
"Smart Light Bulb, Treatlife Smart Wi-Fi Led Light Bulb Compatible with Alexa, Google Assistant, 16 Million RGBCW Color Changing Dimmable Light Bulb, A19 E26 8W (60W Equivalent), Schedule (4 Pack)","$39.99","https://www.amazon.com/Treatlife-Compatible-Assistant-Changing-Equivalent/dp/B083BRRZ4Y/ref=sr_1_38?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-38"
